"Date","Time","Lux"
"12/24/2021","14:15","5.877433995"
"12/24/2021","14:30","8.262641327"
"12/24/2021","14:45","11.93808746"
"12/24/2021","15:00","11.0269701"
"12/24/2021","15:15","7.253550294"
"12/24/2021","15:30","3.017621349"
"12/24/2021","15:45","0.884018332"
"12/24/2021","16:00","0.442009166"
"12/24/2021","16:15","1.910896884"
"12/24/2021","16:30","1.910896884"
"12/24/2021","16:45","1.375845616"
"12/24/2021","17:00","1.375845616"
"12/24/2021","17:15","1.375845616"
"12/24/2021","17:30","1.375845616"
"12/24/2021","17:45","1.375845616"
"12/24/2021","18:00","1.375845616"
"12/24/2021","18:15","1.375845616"
"12/24/2021","18:30","1.375845616"
"12/24/2021","18:45","0"
"12/24/2021","19:00","0.9728"
"12/24/2021","19:15","0.9728"
"12/24/2021","19:30","0.9728"
"12/24/2021","19:45","0.9728"
"12/24/2021","20:00","0.9728"
"12/24/2021","20:15","0.9728"
"12/24/2021","20:30","0.9728"
"12/24/2021","20:45","0.9728"
"12/24/2021","21:00","0.9728"
"12/24/2021","21:15","0.9728"
"12/24/2021","21:30","0.9728"
"12/24/2021","21:45","0.9728"
"12/24/2021","22:00","0.9728"
"12/24/2021","22:15","0.9728"
"12/24/2021","22:30","0.9728"
"12/24/2021","22:45","0.9728"
"12/24/2021","23:00","0.9728"
"12/24/2021","23:15","0.9728"
"12/24/2021","23:30","1.352"
"12/24/2021","23:45","1.5168"
"12/25/2021","00:00","1.5568"
"12/25/2021","00:15","4.127536848"
"12/25/2021","00:30","0"
"12/25/2021","00:45","0"
"12/25/2021","01:00","0"
"12/25/2021","01:15","0"
"12/25/2021","01:30","0"
"12/25/2021","01:45","0"
"12/25/2021","02:00","0"
"12/25/2021","02:15","0"
"12/25/2021","02:30","0"
"12/25/2021","02:45","0"
"12/25/2021","03:00","0"
"12/25/2021","03:15","0"
"12/25/2021","03:30","0"
"12/25/2021","03:45","0"
"12/25/2021","04:00","0"
"12/25/2021","04:15","0"
"12/25/2021","04:30","0"
"12/25/2021","04:45","0"
"12/25/2021","05:00","0"
"12/25/2021","05:15","0"
"12/25/2021","05:30","0"
"12/25/2021","05:45","0"
"12/25/2021","06:00","0"
"12/25/2021","06:15","0"
"12/25/2021","06:30","0"
"12/25/2021","06:45","0"
"12/25/2021","07:00","0"
"12/25/2021","07:15","0"
"12/25/2021","07:30","0"
"12/25/2021","07:45","0"
"12/25/2021","08:00","0.00544"
"12/25/2021","08:15","1.056800631"
"12/25/2021","08:30","2.568561564"
"12/25/2021","08:45","1.547032081"
"12/25/2021","09:00","2.841744279"
"12/25/2021","09:15","4.353356531"
"12/25/2021","09:30","4.749967234"
"12/25/2021","09:45","7.479879267"
"12/25/2021","10:00","4.911190294"
"12/25/2021","10:15","13.80295614"
"12/25/2021","10:30","6.928132326"
"12/25/2021","10:45","7.544053373"
"12/25/2021","11:00","8.437284622"
"12/25/2021","11:15","9.946338052"
"12/25/2021","11:30","9.723211094"
"12/25/2021","11:45","8.262641327"
"12/25/2021","12:00","9.723211094"
"12/25/2021","12:15","7.150863525"
"12/25/2021","12:30","4.39081243"
"12/25/2021","12:45","9.105538413"
"12/25/2021","13:00","13.57929607"
"12/25/2021","13:15","19.83821915"
"12/25/2021","13:30","10.16932967"
"12/25/2021","13:45","4.5632"
"12/25/2021","14:00","8.5376"
"12/25/2021","14:15","7.4624"
"12/25/2021","14:30","9.5872"
"12/25/2021","14:45","6.0464"
"12/25/2021","15:00","4.2384"
"12/25/2021","15:15","5.352"
"12/25/2021","15:30","4.608"
"12/25/2021","15:45","2.9552"
"12/25/2021","16:00","1.7616"
"12/25/2021","16:15","1.2272"
"12/25/2021","16:30","1.2272"
"12/25/2021","16:45","1.910896884"
"12/25/2021","17:00","0"
"12/25/2021","17:15","0"
"12/25/2021","17:30","0"
"12/25/2021","17:45","0"
"12/25/2021","18:00","0"
"12/25/2021","18:15","0"
"12/25/2021","18:30","0"
"12/25/2021","18:45","0"
"12/25/2021","19:00","0"
"12/25/2021","19:15","0"
"12/25/2021","19:30","0"
"12/25/2021","19:45","7.113979238"
"12/25/2021","20:00","5.898633405"
"12/25/2021","20:15","5.898633405"
"12/25/2021","20:30","5.384825224"
"12/25/2021","20:45","5.384825224"
"12/25/2021","21:00","0"
"12/25/2021","21:15","0"
"12/25/2021","21:30","0.9728"
"12/25/2021","21:45","0.9728"
"12/25/2021","22:00","1.5968"
"12/25/2021","22:15","1.5968"
"12/25/2021","22:30","1.392"
"12/25/2021","22:45","1.2272"
"12/25/2021","23:00","1.2272"
"12/25/2021","23:15","1.432"
"12/25/2021","23:30","1.2272"
"12/25/2021","23:45","1.2272"
"12/26/2021","00:00","2.0912"
"12/26/2021","00:15","0"
"12/26/2021","00:30","0"
"12/26/2021","00:45","0"
"12/26/2021","01:00","0"
"12/26/2021","01:15","0"
"12/26/2021","01:30","0"
"12/26/2021","01:45","0"
"12/26/2021","02:00","0"
"12/26/2021","02:15","0"
"12/26/2021","02:30","0"
"12/26/2021","02:45","0"
"12/26/2021","03:00","0"
"12/26/2021","03:15","0"
"12/26/2021","03:30","0"
"12/26/2021","03:45","0"
"12/26/2021","04:00","0"
"12/26/2021","04:15","0"
"12/26/2021","04:30","0"
"12/26/2021","04:45","0"
"12/26/2021","05:00","0"
"12/26/2021","05:15","0"
"12/26/2021","05:30","0"
"12/26/2021","05:45","0"
"12/26/2021","06:00","0"
"12/26/2021","06:15","0"
"12/26/2021","06:30","0"
"12/26/2021","06:45","0"
"12/26/2021","07:00","0"
"12/26/2021","07:15","0"
"12/26/2021","07:30","0"
"12/26/2021","07:45","0"
"12/26/2021","08:00","0.4864"
"12/26/2021","08:15","0.81996"
"12/26/2021","08:30","1.63992"
"12/26/2021","08:45","2.93872"
"12/26/2021","09:00","5.16514"
"12/26/2021","09:15","4.91977"
"12/26/2021","09:30","5.64291"
"12/26/2021","09:45","6.46525"
"12/26/2021","10:00","12.99571"
"12/26/2021","10:15","35.88063"
"12/26/2021","10:30","28.53362"
"12/26/2021","10:45","21.16076"
"12/26/2021","11:00","29.49268"
"12/26/2021","11:15","48.01608"
"12/26/2021","11:30","41.34965"
"12/26/2021","11:45","37.0205"
"12/26/2021","12:00","27.1468"
"12/26/2021","12:15","35.23959"
"12/26/2021","12:30","29.49268"
"12/26/2021","12:45","22.68566"
"12/26/2021","13:00","20.80163"
"12/26/2021","13:15","21.27681"
"12/26/2021","13:30","23.50452"
"12/26/2021","13:45","13.51442"
"12/26/2021","14:00","19.15843"
"12/26/2021","14:15","13.9893"
"12/26/2021","14:30","20.76808"
"12/26/2021","14:45","31.12976"
"12/26/2021","15:00","26.67188"
"12/26/2021","15:15","15.63683"
"12/26/2021","15:30","11.62481"
"12/26/2021","15:45","7.16683"
"12/26/2021","16:00","4.34467"
"12/26/2021","16:15","4.40554"
